brandName,descriptionText,itemCondition,modelYear,manufacturer,fuelType,imageUrl,transmission,engineDisplacement,mileage,price,detailsUrl,adId
Hyundai,Hyundai Elantra 2021 for sale in Lahore,used,2021,Hyundai,Petrol,https://cache4.pakwheels.com/ad_pictures/5985/hyundai-elantra-gls-9-2021-59856728.jpg,Automatic,2000,1,4185000,https://www.pakwheels.com/used-cars/hyundai-elantra-2021-for-sale-in-lahore-5705038,5705038
Toyota,Toyota Corolla 2021 for sale in Sialkot,used,2021,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5985/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-59856480.jpg,Automatic,1800,3900,4325000,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-sialkot-5705022,5705022
Hyundai,Hyundai Sonata 2021 for sale in Lahore,used,2021,Hyundai,Petrol,https://cache2.pakwheels.com/ad_pictures/5953/hyundai-sonata-2-0-3-2021-59538787.jpg,Automatic,2000,5,6900000,https://www.pakwheels.com/used-cars/hyundai-sonata-2021-for-sale-in-lahore-5654355,5654355
Toyota,Toyota Corolla Axio 2018 for sale in Lahore,used,2018,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5985/toyota-corolla-axio-1-5-x-2018-59856521.jpg,Automatic,1500,59000,4400000,https://www.pakwheels.com/used-cars/toyota-corolla-axio-2018-for-sale-in-lahore-5705019,5705019
Honda,Honda City 2021 for sale in Multan,used,2021,Honda,Petrol,https://cache1.pakwheels.com/ad_pictures/5983/honda-city-1-5l-aspire-cvt-2021-59834588.jpg,Automatic,1500,1,3480000,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-multan-5584799,5584799
Suzuki,Suzuki Alto 2016 for sale in Rawalpindi,used,2016,Suzuki,Petrol,https://cache1.pakwheels.com/ad_pictures/5974/suzuki-alto-s-package-2-2016-59749975.jpg,Automatic,660,50000,1750000,https://www.pakwheels.com/used-cars/suzuki-alto-2016-for-sale-in-rawalpindi-5639154,5639154
Toyota,Toyota Corolla 2010 for sale in Karachi,used,2010,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5985/toyota-corolla-gli-vvti-ecotec-2010-59856506.jpg,Manual,1300,129500,1650000,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-karachi-5705001,5705001
Honda,Honda Vezel 2016 for sale in Lahore,used,2016,Honda,Petrol,https://cache3.pakwheels.com/ad_pictures/5986/honda-vezel-hybrid-z-style-edition-2016-59861618.jpg,Automatic,1500,95000,3575000,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-lahore-5705412,5705412
Toyota,Toyota Prius 2010 for sale in Lahore,used,2010,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5950/toyota-prius-s-1-8-2010-59506992.jpg,Automatic,1800,115777,2100000,https://www.pakwheels.com/used-cars/toyota-prius-2010-for-sale-in-lahore-5679457,5679457
Toyota,Toyota Passo 2016 for sale in Islamabad,used,2016,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5986/toyota-passo-moda-2016-59861487.jpg,Automatic,1000,42000,2335000,https://www.pakwheels.com/used-cars/toyota-passo-2016-for-sale-in-islamabad-5705410,5705410
